Fruit Cream Salad,Pomegranate,33.33,g,Fruit Cream Salad
Kathi Roll,Potato,66.67,g,Kathi Roll
Gourmet Club Sandwich,Potato,33.33,g,Gourmet Club Sandwich
Potato Capsicum Salad,Potato,41.67,g,Potato Capsicum Salad
Paratha Sabji,Potato,66.67,g,Paratha Sabji
Kathi Roll,Processed Cheese,0.33,cubes,Kathi Roll
Sambhar,Pumpkin,6.67,g,#N/A
Veg Stuffed Idli,Red Bell Pepper,3.33,g,Veg Stuffed Idli
Chef's Style Salad,Red Bell Pepper,8.33,g,Chef's Style Salad
Coconut Chutney,Red Chilly,0.67,g,#N/A
Penne Arrabiata Pasta,Red Chilly Flakes,0,x,Penne Arrabiata Pasta
Chicken Stroganoff,Red Paprika Powder,0,x,Chicken Stroganoff
Green Peas Kabab,Rice Flour,3.33,g,Green Peas Kabab
Chef's Style Salad,Roman Lettuce,8.33,g,Chef's Style Salad
Lassi,Rose water,0,x,Lassi
Veggie Cheese Omelette,Salt,0,x,Veggie Cheese Omelette
Green Peas Kabab,Salt,0,x,Green Peas Kabab
Sambhar,Salt,0,x,#N/A
Coconut Chutney,Salt,0,x,#N/A
Penne Arrabiata Pasta,Salt,0,x,Penne Arrabiata Pasta
Chicken Patties,Salt,0,x,Chicken Patties
Mixed Sprout Salad,Salt,0,x,Mixed Sprout Salad
Grilled Tomato,Salt,0,x,Grilled Tomato
Coleslaw Salad,Salt,0,x,Coleslaw Salad
Sweet Corn Salad,Salt,0,x,Sweet Corn Salad
Sambhar,Sambhar Masala,0,x,#N/A
Banana Melon Punch,Sugar,0,x,Banana Melon Punch
Banana Musk Melon Punch,Sugar,0,x,Banana Musk Melon Punch
Oatmeal Smoothie,Sugar,0,x,Oatmeal Smoothie
Watermelon Gazpacho,Sugar,0,x,Watermelon Gazpacho
Black Forest Protein Shake,Sugar,0,x,Black Forest Protein Shake
Lassi,Sugar,0,x,Lassi
Lemonade,Sugar,0,x,Lemonade
Guava Shake,Sugar,0,x,Guava Shake
Sweet Corn Salad,Sweet Corn,58.33,g,Sweet Corn Salad
Sambhar,Tamarind,0,x,#N/A
Veggie Cheese Omelette,Tomato,13.33,g,Veggie Cheese Omelette
Kathi Roll,Tomato,23.33,g,Kathi Roll
Gourmet Club Sandwich,Tomato,33.33,g,Gourmet Club Sandwich
Uttapam,Tomato,23.33,g,Uttapam
Sambhar,Tomato,8.33,g,#N/A
Penne Arrabiata Pasta,Tomato,133.33,g,Penne Arrabiata Pasta
Paratha Sabji,Tomato,23.33,g,Paratha Sabji
Rockford Chicken Sandwich,Tomato,33.33,g,Rockford Chicken Sandwich
Mixed Sprout Salad,Tomato,16.67,g,Mixed Sprout Salad
Grilled Tomato,Tomato,100,g,Grilled Tomato
Veg Crudites,Tomato,50,g,Veg Crudites
Chef's Style Salad,Tomato,16.67,g,Chef's Style Salad
Sweet Corn Salad,Tomato,16.67,g,Sweet Corn Salad
Chicken Patties,Tomato Ketchup,1,Packet,Chicken Patties
Thousand Island Sauce,Tomato Ketchup,3.33,g,#N/A
Mixed Sprout Salad,Tomato Ketchup,0,x,Mixed Sprout Salad
Sambhar,Toor Dal,8.33,g,#N/A
Coconut Chutney,Urad Dal,1,g,#N/A
Uttapam,Uttapam Batter,83.33,g,Uttapam
Eggs Benedict,Vinegar,0.02,lit,Eggs Benedict
Banana Melon Punch,Watermelon,8.33,g,Banana Melon Punch
Watermelon Gazpacho,Watermelon,500,g,Watermelon Gazpacho
Kathi Roll,Wheat Flour,66.67,g,Kathi Roll
Paratha Sabji,Wheat Flour,83.33,g,Paratha Sabji
Pancakes,Whipped Cream,16.67,g,Pancakes
Vegan Pancakes,Whipped Cream,16.67,g,Vegan Pancakes
Fruit Cream Salad,Whipped Cream,33.33,g,Fruit Cream Salad
Kathi Roll,White Flour,8.33,g,Kathi Roll
Green Peas Kabab,White Flour,5,g,Green Peas Kabab
Paratha Sabji,White Flour,8.33,x,Paratha Sabji
Coleslaw Salad,White Pepper Powder,0,x,Coleslaw Salad
Veg Stuffed Idli,Yellow Bell Pepper,3.33,g,Veg Stuffed Idli
Chef's Style Salad,Yellow Bell Pepper,8.33,g,Chef's Style Salad
Green Chutney,Yoghurt,3.33,g,#N/A
Lassi,Yoghurt,142.86,g,Lassi
